,시도명,시군구명,고궁/역사 유적지 수
0,강원도,강릉시,104
1,강원도,고성군,20
2,강원도,동해시,24
3,강원도,삼척시,44
4,강원도,속초시,37
5,강원도,양구군,18
6,강원도,양양군,28
7,강원도,영월군,57
8,강원도,원주시,46
9,강원도,인제군,22
10,강원도,정선군,31
11,강원도,철원군,21
12,강원도,춘천시,39
13,강원도,태백시,17
14,강원도,평창군,24
15,강원도,홍천군,23
16,강원도,화천군,24
17,강원도,횡성군,27
18,경기도,가평군,24
19,경기도,고양시 덕양구,36
20,경기도,고양시 일산동구,2
21,경기도,고양시 일산서구,2
22,경기도,과천시,3
23,경기도,광명시,5
24,경기도,광주시,27
25,경기도,구리시,16
26,경기도,군포시,2
27,경기도,김포시,19
28,경기도,남양주시,45
29,경기도,동두천시,23
30,경기도,부천시,3
31,경기도,성남시 분당구,3
32,경기도,성남시 수정구,18
33,경기도,수원시 영통구,2
34,경기도,수원시 장안구,9
35,경기도,수원시 팔달구,19
36,경기도,시흥시,12
37,경기도,안산시 단원구,7
38,경기도,안산시 상록구,5
39,경기도,안성시,107
40,경기도,안양시 만안구,8
41,경기도,양주시,50
42,경기도,양평군,48
43,경기도,여주시,54
44,경기도,연천군,203
45,경기도,오산시,7
46,경기도,용인시 기흥구,4
47,경기도,용인시 수지구,3
48,경기도,용인시 처인구,16
49,경기도,의왕시,4
50,경기도,의정부시,9
51,경기도,이천시,32
52,경기도,파주시,51
53,경기도,평택시,20
54,경기도,포천시,52
55,경기도,하남시,8
56,경기도,화성시,43
57,경상남도,거제시,45
58,경상남도,거창군,33
59,경상남도,고성군,29
60,경상남도,김해시,43
61,경상남도,남해군,31
62,경상남도,밀양시,39
63,경상남도,사천시,26
64,경상남도,산청군,56
65,경상남도,양산시,62
66,경상남도,의령군,32
67,경상남도,진주시,40
68,경상남도,창녕군,57
69,경상남도,창원시 마산합포구,12
70,경상남도,창원시 마산회원구,4
71,경상남도,창원시 성산구,8
72,경상남도,창원시 의창구,14
73,경상남도,창원시 진해구,24
74,경상남도,통영시,28
75,경상남도,하동군,31
76,경상남도,함안군,48
77,경상남도,함양군,29
78,경상남도,합천군,68
79,경상북도,경산시,30
80,경상북도,경주시,346
81,경상북도,고령군,19
82,경상북도,구미시,46
83,경상북도,군위군,24
84,경상북도,김천시,28
85,경상북도,문경시,43
86,경상북도,봉화군,60
87,경상북도,상주시,45
88,경상북도,성주군,48
89,경상북도,안동시,231
90,경상북도,영덕군,58
91,경상북도,영양군,37
92,경상북도,영주시,82
93,경상북도,영천시,64
94,경상북도,예천군,54
95,경상북도,울릉군,43
96,경상북도,울진군,33
97,경상북도,의성군,36
98,경상북도,청도군,34
99,경상북도,청송군,42
100,경상북도,칠곡군,23
101,경상북도,포항시 남구,28
102,경상북도,포항시 북구,30
103,광주광역시,광산구,24
104,광주광역시,남구,25
105,광주광역시,동구,11
106,광주광역시,북구,26
107,광주광역시,서구,5
108,대구광역시,남구,7
109,대구광역시,달서구,23
110,대구광역시,달성군,38
111,대구광역시,동구,48
112,대구광역시,북구,23
113,대구광역시,수성구,20
114,대구광역시,중구,11
115,대전광역시,대덕구,22
116,대전광역시,동구,28
117,대전광역시,서구,11
118,대전광역시,유성구,20
119,대전광역시,중구,24
120,부산광역시,강서구,10
121,부산광역시,금정구,23
122,부산광역시,기장군,12
123,부산광역시,남구,7
124,부산광역시,동구,7
125,부산광역시,동래구,24
126,부산광역시,부산진구,8
127,부산광역시,북구,10
128,부산광역시,사상구,5
129,부산광역시,사하구,10
130,부산광역시,서구,12
131,부산광역시,수영구,7
132,부산광역시,연제구,5
133,부산광역시,영도구,13
134,부산광역시,중구,6
135,부산광역시,해운대구,9
136,서울특별시,강남구,14
137,서울특별시,강동구,3
138,서울특별시,강북구,14
139,서울특별시,강서구,6
140,서울특별시,관악구,16
141,서울특별시,광진구,4
142,서울특별시,구로구,3
143,서울특별시,금천구,6
144,서울특별시,노원구,5
145,서울특별시,도봉구,11
146,서울특별시,동대문구,12
147,서울특별시,동작구,6
148,서울특별시,마포구,7
149,서울특별시,서대문구,5
150,서울특별시,서초구,4
151,서울특별시,성동구,4
152,서울특별시,성북구,22
153,서울특별시,송파구,8
154,서울특별시,양천구,2
155,서울특별시,영등포구,1
156,서울특별시,용산구,5
157,서울특별시,은평구,9
158,서울특별시,종로구,60
159,서울특별시,중구,14
160,서울특별시,중랑구,3
161,울산광역시,남구,6
162,울산광역시,동구,5
163,울산광역시,북구,26
164,울산광역시,울주군,96
165,울산광역시,중구,16
166,인천광역시,강화군,93
167,인천광역시,계양구,2
168,인천광역시,남동구,3
169,인천광역시,동구,1
170,인천광역시,미추홀구,10
171,인천광역시,부평구,5
172,인천광역시,서구,4
173,인천광역시,연수구,2
