,유적지명,시도명,시군구명,경도,위도
0,영산만년교,경상남도,창녕군,128.5298113,35.45363364
1,보각국사탑및비,경상북도,군위군,128.7793311,36.12779702
2,석조여래좌상,전라남도,영암군,126.6638026,34.75394988
3,숭열당,경상북도,영천시,128.9289225,35.96640578
4,사적비,전라남도,강진군,126.7475535,34.58776592
5,철불좌상,충청북도,충주시,127.9007507,36.94676362
6,단속사지삼층석탑,경상남도,산청군,127.8997427,35.32121298
7,12지상부도,울산광역시,중구,129.3382079,35.55510696
8,창녕석빙고,경상남도,창녕군,128.4984255,35.54260287
9,인조별서유기비,서울특별시,은평구,126.9166218,37.60874991
10,강당사당부장원,대구광역시,달성군,128.3718405,35.70126822
11,은관,경상북도,경주시,129.227876,35.82944414
12,굴산사지석불좌상,강원도,강릉시,128.8942903,37.70729866
13,철보살좌상,충청남도,청양군,126.7795129,36.37054033
14,대웅전,전라남도,여수시,127.7005005,34.8211434
15,극락전,경상북도,청도군,128.7197359,35.71542051
16,옥동삼층석탑,경상북도,안동시,128.7166423,36.56800544
17,대웅전,충청남도,홍성군,126.5491412,36.5462758
18,예천권씨초간종택,경상북도,예천군,128.3974781,36.69219558
19,논곡리삼층석탑,전라남도,구례군,127.3852952,35.23065192
20,마애석불입상,경상북도,경주시,129.1745247,35.80471015
21,중초사지당간지주,경기도,안양시 만안구,126.9176214,37.41803471
22,천원삼대리마애불,충청남도,천안시 동남구,127.0868049,36.72764232
23,대웅전,전라남도,순천시,127.5140258,35.06196723
24,금당암삼층석탑,대구광역시,동구,128.7043961,35.99296079
25,금제감장보검,경상북도,경주시,129.227876,35.82944414
26,대광전,경상남도,양산시,128.9509007,35.42646011
27,경애왕릉,경상북도,경주시,129.2084413,35.7961418
28,김해수로왕릉,경상남도,김해시,128.8785283,35.23529573
29,대빈묘,경기도,고양시 덕양구,126.892044,37.63037643
30,헌덕왕릉,경상북도,경주시,129.2443062,35.84392459
31,백제왕릉원,충청남도,부여군,126.9442005,36.27841468
32,장릉,경기도,김포시,126.711218,37.61253081
33,하원동탐라왕자묘,제주특별자치도,서귀포시,126.4712233,33.27775928
34,방동리고구려고분,강원도,춘천시,127.627951,37.90234526
35,돔배오름,제주특별자치도,제주시,126.6700206,33.42894781
36,밝은오름,제주특별자치도,제주시,126.4678539,33.44329542
37,중대봉,충청북도,괴산군,127.9067824,36.66879996
38,신선봉,충청북도,청주시 상당구,127.7692165,36.60394366
39,마천루,강원도,동해시,128.9964421,37.45169619
40,새별오름,제주특별자치도,제주시,126.3574947,33.36637864
41,권제오름,제주특별자치도,제주시,126.5578854,33.45734024
42,삼매봉,제주특별자치도,서귀포시,126.5475633,33.24333303
43,열안지,제주특별자치도,제주시,126.5206837,33.42664349
44,궷물오름,제주특별자치도,제주시,126.4059416,33.39681338
45,향로봉,경상남도,밀양시,128.9630537,35.48486146
46,대기봉,경상남도,남해군,128.0360194,34.7549215
47,영천악,제주특별자치도,서귀포시,126.601155,33.29414013
48,남짓은오름,제주특별자치도,제주시,126.4966041,33.47371557
49,북오름,제주특별자치도,서귀포시,126.3312711,33.30580494
50,본지오름,제주특별자치도,서귀포시,126.8194275,33.39069771
51,도덕봉,충청북도,옥천군,127.5996419,36.2569509
52,검은오름,제주특별자치도,제주시,126.4980165,33.44292113
53,구담봉,충청북도,단양군,128.2468565,36.93643122
54,반야봉,전라북도,남원시,127.5648902,35.32182172
55,대천이오름,제주특별자치도,제주시,126.6842708,33.45227843
56,용머리,제주특별자치도,서귀포시,126.3147181,33.23215453
57,마은이,제주특별자치도,서귀포시,126.65614,33.38066123
58,비로봉,충청북도,단양군,128.4847848,36.95753608
59,베두리오름,제주특별자치도,제주시,126.4908499,33.49175932
60,미악산,제주특별자치도,서귀포시,126.5548405,33.29998477
61,절물오름,제주특별자치도,제주시,126.6235535,33.42927827
62,돔박이,제주특별자치도,서귀포시,126.3640669,33.33949999
63,고위봉,경상북도,경주시,129.2253457,35.76751023
64,계란봉,충청남도,공주시,127.0843274,36.35474903
65,고동재,경상남도,산청군,127.7952605,35.40455187
66,은월봉,울산광역시,남구,129.2991411,35.54298503
67,새신오름,제주특별자치도,제주시,126.2381937,33.29941835
68,우산봉,경상북도,울릉군,131.8696345,37.24078546
69,안친오름,제주특별자치도,제주시,126.7856019,33.47848441
70,모구리오름,제주특별자치도,서귀포시,126.8276389,33.40788666
71,따라비,제주특별자치도,서귀포시,126.7524706,33.38772449
72,두산봉,제주특별자치도,제주시,126.8832588,33.48088462
73,통오름,제주특별자치도,서귀포시,126.8547004,33.39453104
74,지순택요,경기도,이천시,127.3989955,37.31202741
75,서악리고분군,경상북도,경주시,129.185975,35.82533042
76,고산선사유적지,제주특별자치도,제주시,126.1655882,33.30551893
77,봉황동유적,경상남도,김해시,128.8753296,35.23086684
78,성황신김총유적,전라남도,순천시,127.298969,35.06711582
79,원당사지,제주특별자치도,제주시,126.5985287,33.52936167
80,포석정지,경상북도,경주시,129.2127311,35.80706143
81,계련당,강원도,강릉시,128.8934407,37.76331986
82,별신제,충청남도,부여군,126.8503436,36.31199486
83,영산석빙고,경상남도,창녕군,128.5382057,35.45679966
84,원지정사,경상북도,안동시,128.517353,36.53990657
85,아산맹씨행단,충청남도,아산시,127.0420452,36.7466802
86,송시열유적,충청북도,괴산군,127.8112007,36.66844062
87,영빈묘,경기도,남양주시,127.1833875,37.72518349
88,심응사당,경기도,김포시,126.6943328,37.64871944
89,요석공주별궁지,경기도,동두천시,127.0820745,37.94422034
90,칠장사오불회괘불탱,경기도,안성시,127.3977828,37.02653739
91,석조여래입상,경기도,안성시,127.2082926,36.94578768
92,수정재,대전광역시,서구,127.3710041,36.32959739
93,칠곡향교,대구광역시,북구,128.5513868,35.94904193
94,은현리적석총,울산광역시,울주군,129.1628322,35.4629912
95,치산서원지,울산광역시,울주군,129.230278,35.65451431
96,명주사동종,강원도,양양군,128.6806132,37.9484795
