,체험지명,시도명,시군구명,경도,위도
0,호미화방,서울,마포구,126.9216725,37.55345999
1,바늘이야기 연희직영점,서울,서대문구,126.9290799,37.56745805
2,마루아트센터,서울,종로구,126.9848402,37.57354478
3,S2A,서울,강남구,127.0656232,37.50339908
4,학고재,서울,종로구,126.9803171,37.58046555
5,알부스갤러리,서울,용산구,127.0059018,37.53820488
6,갤러리이즈,서울,종로구,126.9841562,37.57480969
7,스타트플러스,서울,성동구,127.0450997,37.54435205
8,케이옥션,서울,강남구,127.0358355,37.52775519
9,서울옥션 강남센터,서울,강남구,127.0338884,37.52744942
10,서울옥션,서울,종로구,126.9759032,37.61130207
11,팝콘D스퀘어,서울,용산구,126.9645757,37.52888336
12,갤러리루미나리에,서울,서초구,127.0224357,37.49570797
13,RnL 갤러리,서울,중구,127.0116298,37.55604784
14,한국공예디자인문화진흥원 갤러리,서울,종로구,126.9841292,37.5740096
15,토포하우스,서울,종로구,126.984325,37.57410333
16,갤러리원,서울,강남구,127.0458826,37.52749312
17,내맘대로폰케이스 홍대점,서울,마포구,126.9218696,37.551186
18,도토리캐리커쳐,서울,마포구,126.92556,37.56141471
19,유나이티드갤러리,서울,강남구,127.0280385,37.50358517
20,류가헌,서울,종로구,126.9703594,37.58537028
21,갤러리바톤,서울,용산구,127.0121744,37.53639879
22,리만머핀,서울,용산구,126.9975901,37.53501186
23,스튜디오콘크리트,서울,용산구,127.0025165,37.54245051
24,예화랑,서울,강남구,127.0222176,37.5228787
25,아라리오갤러리 서울,서울,종로구,126.9885072,37.57787357
26,갤러리밈,서울,종로구,126.9859949,37.57281332
27,알비,서울,성동구,127.0424899,37.5476768
28,MPX갤러리,서울,영등포구,126.9259604,37.52505513
29,서울여성공예센터 더아리움,서울,노원구,127.0765346,37.61961926
30,갤러리아리수,서울,종로구,126.9839888,37.5737501
31,관훈갤러리,서울,종로구,126.9842379,37.57386546
32,아트뮤제,서울,강남구,127.0534469,37.501068
33,갤러리이마주,서울,강남구,127.0342091,37.4988857
34,아로마인드,서울,종로구,126.9842141,37.57913087
35,탕컨템포러리아트코리아,서울,강남구,127.0470029,37.52615019
36,반지대학 강남캠퍼스,서울,강남구,127.0274312,37.50041377
37,조형갤러리,서울,종로구,126.9848586,37.57200589
38,갤러리나우,서울,강남구,127.0349689,37.52276029
39,갤러리 아트사이드,서울,종로구,126.9729478,37.57826747
40,백아트갤러리,서울,종로구,126.9829881,37.57908114
41,갤러리애프터눈,서울,종로구,126.9819944,37.58252549
42,앵콜스,서울,강남구,127.0421146,37.49206973
43,포트링공방,서울,마포구,126.9234909,37.55925099
44,나라아트센터,서울,노원구,127.0763719,37.62883826
45,선갤러리,서울,종로구,126.9857323,37.57292501
46,혜화아트센터,서울,종로구,127.0018477,37.5852947
47,반지만들기카페 대학로본점,서울,종로구,127.00269,37.58399365
48,금보성아트센터,서울,종로구,126.9780729,37.61261253
49,역,서울,종로구,126.9654196,37.59274266
50,아르떼숲,서울,종로구,126.9855557,37.57286012
51,통인가게,서울,종로구,126.985782,37.57347462
52,미림아트,서울,종로구,126.9866698,37.57183311
53,갤러리 강호,서울,종로구,126.9883084,37.57527148
54,하이엔드코리아,서울,종로구,126.9838572,37.57547458
55,동백꽃공방,서울,종로구,127.0050164,37.57989766
56,후지시로세이지 북촌스페이스,서울,종로구,126.9868572,37.58136926
57,갤러리도스,서울,종로구,126.9797773,37.58375229
58,갤러리H,서울,종로구,126.9844915,37.57371412
59,일백헌,서울,종로구,126.9849422,37.58401615
60,서원서예백화점,서울,종로구,126.9866988,37.5739883
61,구하산방,서울,종로구,126.9856735,37.57264389
62,국제갤러리,서울,종로구,126.9807813,37.58035211
63,리안갤러리 서울,서울,종로구,126.9719374,37.57984217
