,시도명,시군구명,유명 촬영지 수
0,강원도,강릉시,2
1,강원도,고성군,2
2,강원도,삼척시,5
3,강원도,속초시,3
4,강원도,영월군,1
5,강원도,원주시,1
6,강원도,정선군,3
7,강원도,철원군,1
8,강원도,춘천시,2
9,강원도,태백시,1
10,강원도,평창군,10
11,강원도,홍천군,1
12,강원도,횡성군,3
13,경기도,가평군,1
14,경기도,고양시 덕양구,1
15,경기도,고양시 일산동구,1
16,경기도,고양시 일산서구,1
17,경기도,구리시,2
18,경기도,남양주시,1
19,경기도,수원시 팔달구,2
20,경기도,안성시,2
21,경기도,양주시,1
22,경기도,양평군,1
23,경기도,여주시,1
24,경기도,연천군,1
25,경기도,오산시,1
26,경기도,용인시 기흥구,1
27,경기도,용인시 처인구,1
28,경기도,파주시,2
29,경기도,포천시,2
30,경상남도,거제시,1
31,경상남도,김해시,1
32,경상남도,남해군,2
33,경상남도,밀양시,2
34,경상남도,사천시,1
35,경상남도,산청군,1
36,경상남도,양산시,1
37,경상남도,의령군,1
38,경상남도,창녕군,1
39,경상남도,창원시 마산합포구,1
40,경상남도,창원시 진해구,1
41,경상남도,통영시,2
42,경상남도,하동군,3
43,경상남도,합천군,2
44,경상북도,경주시,3
45,경상북도,군위군,1
46,경상북도,문경시,4
47,경상북도,봉화군,2
48,경상북도,상주시,1
49,경상북도,안동시,2
50,경상북도,영덕군,1
51,경상북도,울진군,3
52,경상북도,의성군,1
53,경상북도,청송군,1
54,경상북도,포항시 남구,1
55,경상북도,포항시 북구,1
56,대구광역시,남구,1
57,대전광역시,동구,1
58,대전광역시,서구,2
59,부산광역시,기장군,2
60,부산광역시,동구,1
61,부산광역시,사하구,1
62,부산광역시,중구,1
63,부산광역시,해운대구,1
64,서울특별시,마포구,1
65,서울특별시,송파구,1
66,서울특별시,용산구,1
67,서울특별시,종로구,5
68,울산광역시,울주군,1
69,인천광역시,강화군,1
70,인천광역시,옹진군,2
71,인천광역시,중구,2
72,전라남도,고흥군,1
73,전라남도,구례군,1
74,전라남도,나주시,3
75,전라남도,담양군,3
76,전라남도,보성군,3
77,전라남도,순천시,3
78,전라남도,신안군,2
79,전라남도,여수시,1
80,전라남도,영광군,1
81,전라남도,완도군,2
82,전라남도,장성군,1
83,전라남도,장흥군,1
84,전라남도,진도군,2
85,전라남도,해남군,1
86,전라북도,고창군,2
87,전라북도,남원시,2
88,전라북도,부안군,3
89,전라북도,익산시,3
90,전라북도,임실군,1
91,전라북도,전주시 완산구,4
92,제주특별자치도,서귀포시,8
93,제주특별자치도,제주시,3
94,충청남도,금산군,2
95,충청남도,논산시,1
96,충청남도,부여군,1
97,충청남도,서천군,1
98,충청남도,태안군,5
99,충청북도,단양군,2
100,충청북도,제천시,3
101,충청북도,청주시 상당구,3
