,촬영지,시도명,시군구명,경도,위도
0,전주영화종합촬영소,전라북도,전주시 완산구,127.0751019,35.81471633
1,러브레터촬영지,강원도,횡성군,127.816191,37.52764963
2,시월애촬영지,인천광역시,강화군,126.29811,37.70201189
3,청춘촬영지,경상남도,하동군,127.6916199,35.15214318
4,드라마영광의재인촬영지,충청북도,청주시 상당구,127.4941645,36.64614651
5,슬픈연가세트장,인천광역시,옹진군,126.4393719,37.54517939
6,신데렐라언니촬영지,경기도,포천시,127.320871,38.07511009
7,혜원의집,경상북도,군위군,128.6645997,36.17982938
8,낭만닥터김사부촬영지,경기도,포천시,127.3234123,38.07184681
9,기생충포토존,서울특별시,종로구,126.9640983,37.59332931
10,명성황후촬영지,서울특별시,종로구,126.9765867,37.58101802
11,봄날은간다촬영지,강원도,정선군,128.72278,37.47724632
12,불멸의이순신촬영지,전라북도,부안군,126.4654121,35.60968797
13,파이란촬영지,강원도,고성군,128.4281709,38.48551717
14,태왕사신기촬영지,충청남도,태안군,126.3936856,36.45375918
15,수통대장금촬영지,충청남도,금산군,127.5941376,36.06202439
16,신의촬영지,경기도,구리시,127.1109619,37.56074123
17,여친소촬영장소,강원도,평창군,128.7251176,37.74699103
18,건축학개론촬영지,제주특별자치도,서귀포시,126.6555925,33.26941811
19,연개소문촬영지,경상북도,문경시,128.0669966,36.65537602
20,러빙유촬영지,제주특별자치도,서귀포시,126.3291486,33.32874856
21,그대그리고나촬영지,경상북도,영덕군,129.3891758,36.35801588
22,동감촬영장,대구광역시,남구,128.5808843,35.8539195
23,모래시계촬영지,강원도,강릉시,128.9596499,37.70642251
24,번지점프를하다촬영지,충청남도,태안군,126.154383,36.69545328
25,용의눈물촬영장,강원도,영월군,128.4462491,37.17806222
26,상도촬영지,경상북도,상주시,128.2636589,36.44662817
27,신라의달밤촬영지,경상북도,경주시,129.4723635,35.73096598
28,토지촬영지,경상남도,하동군,127.6877784,35.15518934
29,궁드라마촬영지,경상북도,경주시,129.2264169,35.83423354
30,편지촬영지,경기도,가평군,127.3453343,37.74240883
31,나주영상테마파크바람의나라세트장,전라남도,나주시,126.6000568,34.98054522
32,천국의계단촬영지,인천광역시,중구,126.4113669,37.38531801
33,태극기휘날리며촬영지,강원도,평창군,128.7254287,37.74764527
34,순천드라마촬영장,전라남도,순천시,127.5376123,34.95730623
35,영화외출촬영지,강원도,삼척시,129.1886561,37.44899272
36,서울1945촬영지,경상남도,합천군,128.0723534,35.54833961
37,죽성성당,부산광역시,기장군,129.2485855,35.2410491
38,대장금촬영지,전라북도,고창군,126.5845649,35.5003967
39,올인촬영지,제주특별자치도,서귀포시,126.7226956,33.3923182
40,풀하우스촬영지,인천광역시,옹진군,126.4318252,37.54410098
41,가을동화촬영지,강원도,속초시,128.5947811,38.20289203
42,환상의커플철수네집촬영지,경상남도,남해군,128.0403264,34.8005792
43,환상의커플촬영지,경상남도,남해군,128.0400847,34.7991398
44,겨울연가촬영지,서울특별시,종로구,126.9857249,37.58248853
45,원정리,대전광역시,서구,127.3156471,36.24766738
46,섭지코지올인하우스,제주특별자치도,서귀포시,126.9314244,33.4258356
47,시크릿가든촬영장,경기도,여주시,127.5393369,37.29150626
48,선샤인스튜디오,충청남도,논산시,127.1055202,36.1027085
49,석불산영상랜드,전라북도,부안군,126.6421655,35.72690465
50,상도촬영지,전라남도,순천시,127.3530078,34.92684778
51,장길산촬영지,충청남도,태안군,126.2685005,36.70031577
52,대왕세종촬영지,경상북도,문경시,128.073791,36.77115317
53,별에서온그대촬영지,경상남도,양산시,129.0830503,35.49847849
54,웰컴투동막골촬영지,강원도,평창군,128.7254286,37.74760904
55,용인대장금파크,경기도,용인시 처인구,127.3378362,37.12110507
56,학교2013촬영지,경기도,수원시 팔달구,126.9788434,37.2877975
57,괴물촬영지,서울특별시,용산구,126.9521658,37.52929073
58,봄여름가을겨울그리고봄촬영지,경상북도,청송군,129.1954241,36.35549862
59,천국의계단촬영지,서울특별시,송파구,127.0981798,37.51109837
60,천년학촬영지,전라남도,장흥군,126.9409677,34.46668648
61,SBS드라마드림세트장,부산광역시,기장군,129.2485646,35.24106427
62,영화외출촬영지,강원도,삼척시,129.1605357,37.44087718
63,대장금촬영지,충청남도,금산군,127.5973859,36.06467561
64,서동요세트장,전라북도,익산시,127.0795346,36.02348471
65,아현동골목길,서울특별시,마포구,126.9610552,37.55653932
66,JSA촬영지,충청남도,서천군,126.8626188,36.0682168
67,선물촬영지,전라남도,보성군,127.089245,34.73636092
68,고맙습니다촬영지,전라남도,신안군,126.16155,34.94752246
69,청석골드라마세트장,강원도,철원군,127.4793063,38.19444422
70,순수의시대촬영지,경상남도,통영시,128.4601721,34.72268778
71,신라밀레니엄파크선덕여왕촬영지,경상북도,경주시,129.2966478,35.83377297
72,문경실내촬영스튜디오,경상북도,문경시,128.1791233,36.63876706
73,내마음의풍금촬영장,전라북도,고창군,126.6956761,35.38159734
